OrganisationLabel,OrganisationURI,EffectiveDate,TrafficRegulationOrderType,Location,SideOfRoad,ParkingSpaces,FreeParking,ParkingStartPoint,ParkingEndPoint
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ashley road north - south arm, Hale",west,3,TRUE,its junction with Ashley Road  west - east arm,a point 3 metres north of its junction with Ashley Road Main Carriageway
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ashley road north - south arm, Hale",east,2,TRUE,a point 18 metres south of its junction with Brown Street,a point 22 metres north of its junction with Ashley Road main carriageway
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ashley road west - east arm, Hale",south & east,4,TRUE,a point 3 metres north of its junction with Ashley Road main carriageway,its junction with Ashley Road  north - south arm
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ashley road west - east arm fronting hale view, Hale",north,11,TRUE,a point 3 metres east of its junction with Bath Place,a point 57 metres east of its junction with Bath Place
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Ashley walk, Hale",west,5,TRUE,from a point 19 metres from its junction with Ashley Road,to a point 33 metres from its junction with Ashley Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Ashton lane, Sale",south,1,TRUE,from a point 43 metres west of its junction with Washway Road,to a point 38 metres west of its junction with Washway Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Ashton lane, Sale",south,1,FALSE,a point 54 metres west of its junction with Washway Road,a point 43 metres west of its junction with Washway Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Ashton lane, Sale",south,5,FALSE,a point 100 metres west of its junction with Washway Road,a point 69 metres west of its junction with Washway Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Atkinson road, Sale",south-west,6,TRUE,A point 8 metres northwest of its junction with York Road,"A point 7 metres southeast of its junction with Atkinson
Road (southwest arm)"
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Atkinson road, Sale",north-east,6,TRUE,A point 15 metres southeast of its junction with Southern Road,A point 183 metres northwest of its junction with York Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Balmoral road, Altrincham",north-west,11,TRUE,from a point 35 metres north-east of its junction with Moss Lane,to a point 144 metres north-east of its junction with Moss Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Balmoral road, Altrincham",north-west,3,TRUE,from a point 184 metres north-east of its junction with Moss Lane,to a point 200 metres north-east of its junction with Moss Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Barkers lane, Sale",north-east,6,TRUE,a point 81 metres southeast of its junction with Grange Road,a point 10 metres northwest of its junction with Brenton Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Barkers lane, Sale",north-east,8,TRUE,a point 10 metres southeast of its junction with Brenton Avenue,a point 10 metres northwest of its junction with Westgate
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Barkers lane, Sale",west,3,TRUE,a point 9 metres south of its junction with Delaunays Road,a point 31 metres south of its junction with Delaunays Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Barkers lane, Sale",south-west,11,TRUE,A point 79 metres south east of its junction with Queens Road,A point 68 metres north of its junction with Delaunays Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Barrington road, Altrincham",south-west,4,TRUE,from a point 23 metres northwest of its junction with Sandiway Road,to a point 5 metres northwest of its junction with Sandiway Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Barrington road, Altrincham",north-east,2,TRUE,from its easterly junction with Hazel Road,to a point 12 metres south-east of its easterly junction with Hazel Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Barrington road, Altrincham",north-east,5,FALSE,a point 25 metres southeast of its junction with Gaskell Road,a point 36 metres north of its junction with Hazel Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Barrington road, Altrincham",north-east,12,FALSE,a point 121 metres northwest of its junction with Grosvenor Road,a point 55 metres northwest of its junction with Grosvenor Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Beech grove, Sale",north-west,7,TRUE,a point 70 metres southwest of its junction with Barker's Lane,a point 114 metres southwest of its junction with Barker's Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Beech grove, Sale",south-east,12,TRUE,a point 9 metres southwest of its junction with Barkers Lane,a point 110 metres southwest of its junction with Barkers Lane
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Beech grove (West To East Arm), Sale",south,8,TRUE,a point 4 metres east of its westerly cul-de-sac end,a point 7 metres west of its easterly cul-de-sac end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Belgrave road, Sale",north-east,3,TRUE,a point 7 metres southeast of its junction with Washway Road,a point 23 metres southeast of its junction with Washway Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Belgrave road, Sale",north-east,20,TRUE,a point 30 metres southeast of its junction with Washway Road,a point 134 metres southeast of its junction with Washway Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Belgrave road, Sale",south-west,20,TRUE,A point 32 metres southeast of its junction with Washway Road,A point 137 metres southeast of its junction with Washway Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Benbow street, Sale",north,2,TRUE,A point 11 metres north east of its junction with Hereford Street.,A point 23 metres north east of its junction with Hereford Street.
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Benbow street, Sale",south,3,TRUE,A point 6 metres north-east of its junction with Hereford Street.,A point 20 metres north-east of its junction with Hereford Street.
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Bennett street, Stretford",west,2,TRUE,a point 19 metres north of its cul-de-sac end,a point 8 metres north of its cul-de-sac end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Bennett street, Stretford",west,5,TRUE,from a point 5 metres south of its junction with Jackson Street,to a point 5 metres north of its junction with Mitford Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Bennett street, Stretford",west,3,TRUE,a point 6 metres south of its junction with Mitford Street,a point 19 metres north of its cul-de-sac end
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Bollin drive, Timperley",east,6,TRUE,from a point 17 metres south of its junction with Park Road,to a point 10 metres north of its junction with Downs Drive
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Borough road, Altrincham",east,6,TRUE,from a point 6 metres south of its junction with Mayors Road,to a point 39 metres south of its junction with Mayors Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Borough road, Altrincham",east,3,TRUE,from a point 41 metres north of its junction with Stamford Park Road,to a point 25 metres north of its junction with Stamford Park Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Borough road, Altrincham",west,3,TRUE,from a point 5 metres north of its junction with Stamford Park Road,to a point 26 metres north of its junction with Stamford Park Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Brentwood crescent, Altrincham","west, south and east",7,TRUE,from a point on its west side 56 metres from its junction with Gladstone Road around its cul-de-sac end,to a point on its east side 10 metres from its junction with Gladstone Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Brian statham way, Stretford",east,29,FALSE,a point 141 metres south of its junction with Talbot Road,a point 213 metres south of its junction with Talbot Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Brian statham way, Stretford",east,7,FALSE,a point 38 metres south of its junction with Talbot Road,a point 78 metres south of its junction with Talbot Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Briarfield road, Timperley",south-east,4,TRUE,a point 20 metres southwest of its junction with Merefield Road,a point 38 metres southwest of its junction with Merefield Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Briarfield road, Timperley",south-east,4,TRUE,a point 45 metres southwest of its junction with Merefield Road,a point 11 metres northeast of its junction with Mainwood Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Bridgewater road, Altrincham",north,2,TRUE,from a point 29 metres west of its junction with Emery Close,to a point 7 metres west of its junction with Emery Close
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Bridgewater road, Altrincham",south,5,TRUE,from a point 55 metres from its junction with Wharf Road,to a point 83 metres from its junction with Wharf Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Bridgewater road, Altrincham",south,11,TRUE,a point 115 metres from its junction with Wharf Road,a point 174 metres from its junction with Wharf Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Bridgewater road, Altrincham",south,23,TRUE,a point 180 metres from its junction with Wharf Road,a point 10 metres from its junction with Newton Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Bridgewater street, Sale",south-east,2,TRUE,from a point 13 metres north-east of its junction with Chapel Road,to a point 25 metres north-east of its junction with Chapel Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Bridgewater street, Sale",south-east & south,2,TRUE,from a point 86 metres north-east of its junction with Chapel Road,to a point 98 metres north-east of its junction with Chapel Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Brien avenue (North To South Arm), Altrincham",east,3,TRUE,from a point 47 metres from its junction with Brunswick Road,to a point 18 metres from its junction with Brunswick Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Brien avenue (South-West To North-East Arm), Altrincham",north & south,32,TRUE,"from a point 34 metres from its northerly junction with the North to South arm, around its cul-de-sac end",to a point 5 metres from its southerly junction with the North to South arm
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Brighton grove, Sale",north-east,5,FALSE,a point 10 metres northwest of its junction with Cross Street,a point 39 metres northwest of its junction with Cross Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Brighton grove, Sale",south-west,10,FALSE,a point 8 metres northwest of its junction with Cross Street,a point 59 metres northwest of its junction with Cross Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Brindley avenue, Sale",east,9,TRUE,from a point 29 metres south of its junction with Dane Road,to a point 76 metres south of its junction with Dane Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Brindley avenue, Sale",west,11,TRUE,from a point 34 metres south of its junction with Dane Road,to a point 99 metres south of its junction with Dane Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Broad road, Sale",south,6,TRUE,from a point 10 metres north-east of its junction with Fernacre,to a point 10 metres south-west of its junction with Rookfield Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Broad road, Sale",north,4,TRUE,from a point 12 metres north-east of its junction with Oldfield Road,to a point 29 metres south-west of its junction with Winstanley Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Broad road, Sale",north,8,TRUE,a point 12 metres north-east of its easterly junction with the Link Road between Broad Road and Winstanley Road,to a point 69 metres south-west of its junction with Priory Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Broad road, Sale",north,5,TRUE,from a point 50 metres south-west of its junction with Priory Road,to a point 20 metres south-west of its junction with Priory Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Broad road, Sale",south,5,FALSE,a point 122 metres northeast of its junction with Northenden Road,a point 147 metres northeast of its junction with Northenden Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Broadoaks road, Sale",north & east,22,TRUE,from a point 15 metres south-east of its junction with Washway Road,to a point 231 metres south-east and then south west of its junction with Washway Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Brooklands road service road fronting nos 4 - 12 brooklands road, Sale",south-west,8,TRUE,from its junction with the service road to the rear of the shops (adjacent no 4),to its junction with Framingham Road service road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Broomfield lane, Hale",south,1,TRUE,from a point 21 metres west of its junction with Hazelwood Road,to a point 15 metres west of its junction with Hazelwood Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Brunswick road, Altrincham",north,52,TRUE,from a point 20 metres from its junction with Navigation Road,to a point 5 metres from its junction with Newton Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Brunswick road, Altrincham",south,12,TRUE,from a point 5 metres west of its junction with Newton Road,to a point 5 metres east of its junction with Brien Avenue
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Brunswick road, Altrincham",south,21,TRUE,from a point 5 metres west of its junction with Brien Avenue,to a point 5 metres east of its junction with Chevron Place
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Brunswick road, Altrincham",south,10,TRUE,from a point 5 metres west of its junction with Chevron Place,to a point 58 metres west of its junction with Chevron Place
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Burleigh road, Stretford",south-east,1,TRUE,from a point 16 metres south-west of its junction with Cavendish Road,to a point 10 metres south-west of its junction with Cavendish Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Burleigh road, Stretford",south-east,3,TRUE,to a point 10 metres northeast of its junction with Taylor's Road,a point 5 metres southwest of St Peter's Court
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Burleigh road, Stretford",south-east,2,TRUE,a point 5 metres northeast of St Peter's Court,a point 10 metres southwest of its junction with Portland Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Burleigh road stretford, Stretford",north-west,39,TRUE,a point 5 metres northeast of its junction with Beresford Road,a point 30 metres southwest of its junction with Avondale Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Burleigh road (Gorse Hill), Stretford",north-west,14,TRUE,from a point 10 metres northeast of its junction with Portland Road,to a point 10 metres  southwest of Its junction with Cavendish Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Pay & Display,"Burlington road, Altrincham",east,22,FALSE,A point 10 metres south of its junction with Sandiway Road,A point 41 metres north of its junction with Woodlands Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Canal road, Timperley",north-west,5,TRUE,a point 67 metres southwest of its junction with Park Road,a point 95 metres southwest of its junction with Park Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Canute road, Altrincham",north-east,1,TRUE,from a point 105 metres north-west of its junction with Talbot Road,to a point 98 metres north-west of its junction with Talbot Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Cavendish road, Altrincham",north,9,TRUE,a point 177 metres southeast of its junction with Delamer Road,a point 232 metres southeast of its junction with Delamer Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Cecil road, Hale",east,2,TRUE,A point 141 metres south east of its northerly junction with Ashley Road,A point 151 metres south east of its northerly junction with Ashley Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Cecil road, Hale",east,9,TRUE,A point 167 metres south east of its northerly junction with Ashley Road,A point 222 metres south east of its northerly junction with Ashley Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Cecil road, Hale",west,2,TRUE,A point 95 metres south of its northerly junction with Ashley Road,A point 105 metres south of its northerly junction with Ashley Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Central way, Altrincham",north-west,1,TRUE,a point 92 metres northeast of its junction with Regent Road,a point 98 metres northeast of its junction with Regent Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Central way, Altrincham",north-west,3,TRUE,a point 80 metres northeast of its junction with Regent Road,a point 59 metres northeast of its junction with Regent Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Chapel lane, Stretford",south,7,TRUE,from a point 13 metres east of its junction with Barton Road,to a point 51 metres east of its junction with Barton Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Chapel lane, Stretford",north,2,TRUE,from a point 55 metres west of its junction with Chester Road,to a point 44 metres west of its junction with Chester Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Chapel lane, Stretford",south,4,TRUE,from a point 38 metres west of its junction with Chester Road,to a point 11 metres west of its junction with Chester Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Disabled Parking,"Chapel road, Sale",south,3,TRUE,from a point 18 metres east of its junction with Tatton Place,to its junction with Tatton Place
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Chapel road, Sale",east,3,TRUE,from its junction with Bridgewater Street,to a point 19 metres south of its junction with Bridgewater Street
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Chapel road, Sale",south-west,2,TRUE,from a point 30 metres south-east of its junction with Cross Street,to a point 5 metres north-west of its junction with Leicester Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Chapel road, Sale",south-west,1,TRUE,from a point 29 metres south-east of its junction with Tatton Road,to a point 47 metres south-east of its junction with Tatton Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Chapel road, Sale",south-west,3,TRUE,from a point 28 metres north-west of its junction with Claremont Road,to a point 11 metres north-west of its junction with Claremont Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Charter road, Altrincham",east,14,TRUE,from a point 12 metres south of its junction with Mayors Road,to a point 95 metres south of its junction with Mayors Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Chester road (service road & traffic island at the junctions with chorley street & partridge street), Stretford",south,4,TRUE,from a point 17 metres north-west of its northerly junction with Chester Road,to a point 34 metres north-east of its southerly junction with Chester Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Chester road (service road at the junction with partridge street) stretford, Stretford",south,6,TRUE,a point 12 metres north of its northerly junction with Chester Road,a point 28 metres northeast of its northerly junction with Chester Road
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Chester road lay-by fronting stretford mall, Stretford",north-west,5,TRUE,a point 12 metres northwest of its southerly junction with Chester Road main carriageway,a point 34 metres northwest of its southerly junction with Chester Road main carriageway
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Chester road lay-by fronting stretford mall, Stretford",north-west,6,TRUE,a point 46 metres northwest of its southerly junction with Chester Road main carriageway,a point 82 metres northwest of its southerly junction with Chester Road main carriageway
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Chester road (Service Road Fronting Nos. 888-914 Gorse Hill), Stretford",south-east,10,TRUE,from its junction with the access road between No. 914 Chester Road and the Gorse Hill Hotel,to a point 59 metres south-west of its junction with the access road between No. 914 Chester Road and the Gorse Hill Hotel
Trafford Council,https://opendatacommunities.org/id/metropolitan-district-council/trafford,2021-09-20,Limited Waiting,"Chevron place, Altrincham",west,2,TRUE,from a point 7 metres both of its junction with Brunswick Road,to a point 22 metres from its junction with Brunswick Road
